avg_size,len,bytes,long_enough,arm_chosen,delta_bmr,stored,type_idx
11308.5,1012,11444224,0,0,0,0,9
8992.55,1164,10467328,0,0,0,0,9
8671.15,1247,10812928,0,0,0,0,9
8600.31,1195,10277376,0,0,0,0,9
9444.12,1001,9453568,0,0,0,0,9
9119.28,1027,9365504,0,0,0,0,9
9123.97,1096,9999872,0,0,0,0,9
9577.78,1135,10870784,0,0,0,0,9
8705.98,1034,9001984,0,0,0,0,9
10260.5,1101,11296768,0,0,0,0,9
12381.6,1001,12393984,0,0,0,0,9
7464.57,1098,8196096,0,0,0,0,9
8808.27,1149,10120704,0,0,0,0,9
8883.17,1003,8909824,0,0,0,0,9
8479.7,1050,8903680,0,0,0,0,9
9346.33,1045,9766912,0,0,0,0,9
10492.4,1004,10534400,0,0,0,0,9
13047.3,1002,13073408,0,0,0,0,9
10487.2,1021,10707456,0,0,0,0,9
9283.38,1003,9311232,0,0,0,0,9
7764.24,1094,8494080,0,0,0,0,9
8350.16,1010,8433664,0,0,0,0,9
8585,1123,9640960,0,0,0,0,9
9185.64,1113,10223616,0,0,0,0,9
8965.53,1112,9969664,0,0,0,0,9
9545.2,1294,12351488,0,0,0,0,9
8985.45,1197,10755584,0,0,0,0,9
9063.54,1303,11809792,0,0,0,0,9
8281.13,1034,8562688,0,0,0,0,9
8517.87,861,7333888,0,0,0,0,9
11005.3,1027,11302400,0,0,0,0,9
9129.35,1300,11868160,0,0,0,0,9
8951.44,658,5890048,0,0,0,0,9
8791.58,1175,10330112,0,0,0,0,9
12071.1,1029,12421120,0,0,0,0,9
10281.8,1030,10590208,0,0,0,0,9
11215.5,1002,11237888,0,0,0,0,9
9698.86,1107,10736640,0,0,0,0,9
6352.59,1026,6517760,0,0,0,0,9
9935.78,1030,10233856,0,0,0,0,9
10028.9,1130,11332608,0,0,0,0,9
3813.05,418,1593856,0,0,0,0,9
8580.21,1369,11746304,0,0,0,0,9
10636.2,1145,12178432,0,0,0,0,9
9132.13,1050,9588736,0,0,0,0,9
9664.99,837,8089600,0,0,0,0,9
8846.77,1083,9581056,0,0,0,0,9
8668.95,1227,10636800,0,0,0,0,9
13392.8,1001,13406208,0,0,0,0,9
8426.86,1005,8468992,0,0,0,0,9
38843.9,1022,39698432,0,0,0,0,4
48217.2,1004,48410112,0,0,0,0,4
72379,1024,74116096,0,0,0,0,4
95482.1,954,91089920,0,0,0,0,4
67299.6,1082,72818176,0,0,0,0,4
53253.6,1012,53892608,0,0,0,0,4
63481.3,1070,67924992,0,0,0,0,4
30515.7,1045,31888896,0,0,0,0,4
52640.1,1030,54219264,0,0,0,0,4
20784.6,1064,22114816,0,0,0,0,4
20791,1029,21393920,0,0,0,0,4
19664.7,1261,24797184,0,0,0,0,4
13402,1257,16846336,0,0,0,0,4
10239.3,1490,15256576,0,0,0,0,4
30612.3,366,11204096,0,0,0,0,4
27101.6,1340,36316160,0,0,0,0,4
10276.3,1212,12454912,0,0,0,0,4
6845.52,1240,8488448,0,0,0,0,4
9624.81,1300,12512256,0,0,0,0,4
9932.64,1311,13021696,0,0,0,0,0
8795.88,1003,8822272,0,0,0,0,0
8386.53,1366,11456000,0,0,0,0,0
10087.2,1364,13758976,0,0,0,0,0
12867.6,1121,14424576,0,0,0,0,0
11260.9,1006,11328512,0,0,0,0,0
12005.1,1010,12125184,0,0,0,0,0
5559.95,1002,5571072,0,0,0,0,0
9056.57,1018,9219584,0,0,0,0,0
8547.09,1129,9649664,0,0,0,0,0
7472.89,1021,7629824,0,0,0,0,9
11666.5,1043,12168192,0,0,0,0,8
74225.2,1001,74299392,0,0,0,0,8
18259.5,1009,18423808,0,0,0,0,8
7699.29,1327,10216960,0,0,0,0,8
8436.25,1155,9743872,0,0,0,0,8
8008.3,1218,9754112,0,0,0,0,8
8803.1,930,8186880,0,0,0,0,8
12862.3,1003,12900864,0,0,0,0,8
8743.42,1156,10107392,0,0,0,0,8
30139.8,1036,31224832,0,0,0,0,8
25441.3,1029,26179072,0,0,0,0,8
27631.1,1001,27658752,0,0,0,0,8
26431.6,1131,29894144,0,0,0,0,8
19651.7,1049,20614656,0,0,0,0,8
21710.1,1016,22057472,0,0,0,0,8
20884.4,1052,21970432,0,0,0,0,8
21594.4,1020,22026240,0,0,0,0,8
20302.8,1020,20708864,0,0,0,0,8
22120.3,1006,22253056,0,0,0,0,8
21337.7,1022,21807104,0,0,0,0,8
16196,1054,17070592,0,0,0,0,8
19816.8,1036,20530176,0,0,0,0,8
22739.5,1029,23398912,0,0,0,0,8
21652.8,1046,22648832,0,0,0,0,4
17054.6,1004,17122816,0,0,0,0,4
18328.3,1002,18364928,0,0,0,0,9
14967,1033,15460864,0,0,0,0,9
21065.7,1008,21234176,0,0,0,0,9
16610.1,1019,16925696,0,0,0,0,9
20342.8,1034,21034496,0,0,0,0,9
19392.3,1061,20575232,0,0,0,0,9
13369.2,1021,13649920,0,0,0,0,9
19583.8,1026,20092928,0,0,0,0,9
15517,1021,15842816,0,0,0,0,9
17377.7,1014,17620992,0,0,0,0,9
17682.3,1079,19079168,0,0,0,0,9
18934.9,1012,19162112,0,0,0,0,9
14910.2,1013,15104000,0,0,0,0,9
18659.4,1013,18902016,0,0,0,0,9
17592.3,1053,18524672,0,0,0,0,9
17986.4,1010,18166272,0,0,0,0,9
