write_ratio,avg_request_size,size_variance,singleton_ratio,popularity_skewness,avg_frequency,object_diversity,avg_reuse_distance,sequentiality_ratio,out_cache_hit_rate,request_rate,burstiness_index,arrival_time_variance,working_set_byte_delta,scan_ratio
0,9373.03,1.39719e+09,0.739563,1.37584,1.20835,0.827576,6907.35,0.768066,0.0292969,1.00319,0,0,1.21505e+08,0.761292
0,9318.53,1.37749e+09,0.734619,1.31895,1.21534,0.822815,6759.28,0.771729,0.0300293,1.0028,0,0,1.18631e+08,0.750916
0,9144.53,1.33691e+09,0.73291,1.3166,1.21769,0.821228,6590.17,0.770264,0.0300903,1.00262,0,0,1.15341e+08,0.749268
0,8956.56,1.31748e+09,0.781921,1.27891,1.16034,0.861816,6925.53,0.76825,0.0241089,1.00233,0,0,1.21042e+08,0.786011
0,9172.12,1.38064e+09,0.793701,1.02502,1.14445,0.873779,9373.02,0.792725,0.0206909,1.0021,0,0,1.24585e+08,0.797668
0,9302.81,1.41488e+09,0.786438,0.997739,1.14846,0.870728,9650.76,0.798645,0.0205688,1.0019,0,0,1.26014e+08,0.794739
0,9466.91,1.44679e+09,0.788574,0.988273,1.14662,0.872131,10092,0.798218,0.019165,1.00172,0,0,1.27504e+08,0.796448
0,9528.66,1.45915e+09,0.776001,1.37859,1.16157,0.860901,9913.05,0.790466,0.0175781,1.00154,0,0,1.26788e+08,0.785706
0,9314.75,1.41365e+09,0.783752,1.36094,1.15388,0.866638,10033.1,0.791138,0.0148926,1.00139,0,0,1.24906e+08,0.790771
0,9431.47,1.43775e+09,0.777588,1.36693,1.16067,0.861572,9993.32,0.793701,0.0151978,1.00125,0,0,1.25515e+08,0.78241
0,9441.53,1.43095e+09,0.765564,1.69063,1.17499,0.851074,9870.84,0.789673,0.0154419,1.00112,0,0,1.2617e+08,0.772278
0,9336,1.40315e+09,0.763367,1.84535,1.17837,0.848633,9716.82,0.787903,0.015564,1.00107,0,0,1.24318e+08,0.77002
0,9277.59,1.3967e+09,0.767578,1.8342,1.16962,0.85498,9849.32,0.786926,0.0137329,1.00093,0,0,1.24646e+08,0.777344
0,9415.34,1.42862e+09,0.772522,1.78754,1.16529,0.858154,9942.26,0.786316,0.0129395,1.00083,0,0,1.25563e+08,0.779785
0,9473.81,1.44123e+09,0.780701,1.93963,1.1605,0.861694,9871.89,0.781738,0.0125732,1.00075,0,0,1.26546e+08,0.778015
0,9508.75,1.45512e+09,0.79248,1.35657,1.14597,0.87262,10581.1,0.795593,0.00909424,1.00069,0,0,1.2804e+08,0.790222
0,9394.62,1.42366e+09,0.777344,1.4197,1.1624,0.860291,10450.6,0.794556,0.00891113,1.00062,0,0,1.23472e+08,0.778137
0,9336.31,1.41347e+09,0.777405,1.44346,1.16273,0.860046,10481.9,0.793152,0.00848389,1.00055,0,0,1.24655e+08,0.77832
0,9526.44,1.43044e+09,0.732971,1.49402,1.20817,0.827698,10041.4,0.798523,0.0107422,1.0005,0,0,1.20184e+08,0.746521
0,9572.94,1.44895e+09,0.741089,1.37591,1.19854,0.834351,10009.8,0.800476,0.0119019,1.00045,0,0,1.22041e+08,0.753784
0,11314.2,1.93166e+09,0.706116,2.12239,1.24084,0.805908,9588.93,0.779053,0.0209351,0.452825,1.46262,10.4328,1.41551e+08,0.724792
0,13594.6,2.7451e+09,0.700806,2.24961,1.24159,0.80542,17743.6,0.771851,0.0236206,0.508042,1.36038,7.17003,1.54168e+08,0.717163
0,17460.7,3.59606e+09,0.650452,2.58712,1.29446,0.772522,17310.9,0.749878,0.0392456,0.510573,1.37147,7.2153,1.62816e+08,0.68335
0,22404.4,5.08569e+09,0.628052,2.55999,1.32664,0.753784,17488.9,0.741211,0.0601196,0.597049,1.38176,5.35605,1.8082e+08,0.664124
